Metric,Value,Model
Accuracy,0.9045577259012229,随机森林
Precision,0.9591497841248756,随机森林
Recall,0.8579916815210933,随机森林
F1,0.9057550572369454,随机森林
ROC AUC,0.960229160572348,随机森林
Accuracy,0.8774019374305224,逻辑回归
Precision,0.8923169993950393,逻辑回归
Recall,0.8764111705288176,逻辑回归
F1,0.8842925659472421,逻辑回归
ROC AUC,0.9479461563271548,逻辑回归
Accuracy,0.6861997776719072,K-Means
Precision,0.639,K-Means
Recall,0.9491978609625668,K-Means
F1,0.763805880946689,K-Means
Accuracy,0.900746387168493,支持向量机
Precision,0.9471451876019576,支持向量机
Recall,0.8624480095068331,支持向量机
F1,0.9028144923029078,支持向量机
ROC AUC,0.9542022975251948,支持向量机
