Feature,Importance
overall_total_clicks,1.0105483646543
overall_active_days,1.0078605315997227
active_days_subpage,0.9666528668973967
total_clicks_homepage,0.9594375984275924
early_engagement,0.9423540921231637
active_days_homepage,0.9367799368875842
total_clicks_subpage,0.9346186786965596
active_days_oucontent,0.8859016656897067
active_days_forumng,0.8365673347279712
total_clicks_oucontent,0.8297933196226832
total_clicks_url,0.8057068153690987
active_days_url,0.7981463505566151
total_clicks_forumng,0.7175813317148783
active_days_page,0.697859694670389
total_clicks_quiz,0.6955280844458825
active_days_resource,0.6856406625128121
active_days_ouwiki,0.6841529788276386
total_clicks_page,0.6633577308877363
active_days_questionnaire,0.6306463220619474
total_clicks_questionnaire,0.6134946512634578
total_clicks_resource,0.5956361754595167
active_days_quiz,0.5941003013515276
active_days_dataplus,0.5859764408762806
active_days_dualpane,0.5822875435734028
total_clicks_dataplus,0.570266318495174
total_clicks_dualpane,0.5383447396886039
total_clicks_ouwiki,0.5015043499806527
active_days_oucollaborate,0.5003016307711898
total_clicks_oucollaborate,0.46113780664155596
avg_daily_clicks,0.45539320166281855
active_days_folder,0.4535983930143792
total_clicks_folder,0.4510291795441983
total_clicks_ouelluminate,0.36540410333618206
active_days_ouelluminate,0.3587521455378171
total_clicks_externalquiz,0.31159277551666553
active_days_externalquiz,0.3060378663704577
code_module,0.2705628969427278
total_clicks_htmlactivity,0.2627246190989641
active_days_htmlactivity,0.2546017211913019
gender,0.19177345402294316
total_clicks_glossary,0.17689581081744643
active_days_glossary,0.1500523203183543
age_band,0.1335319702472532
date_unregistration,0.11513065038127179
imd_band,0.10759712617172287
code_presentation,0.10533646140314881
num_of_prev_attempts,0.07369018023052132
highest_education,0.052361264084353126
id_student,0.041258009927268635
disability,0.039793213193331387
module_presentation_length,0.03706197280880774
date_registration,0.023878152967568927
studied_credits,0.01844079588964892
region,0.014926935036507756
active_days_sharedsubpage,0.0
semester,0.0
presentation_year,0.0
total_clicks_sharedsubpage,0.0
total_clicks_repeatactivity,0.0
active_days_repeatactivity,0.0
